date,BGN/1/ბულგარული ლევი,DKK/10/დანიური კრონი,EUR/1/ევრო,GBP/1/დიდი ბრიტანეთის გირვანქა სტერლინგი,ISK/100/ისლანდიური კრონი,RSD/100/სერბიული დინარი,NOK/10/ნორვეგიული კრონი,PLN/10/პოლონური ზლოტი,"ROL/10,000/რუმინული ლეი",RON/10/რუმინული ლეი,HUF/100/უნგრული ფორინტი,SEK/10/შვედური კრონი,CHF/1/შვეიცარიული ფრანკი ,CZK/10/ჩეხური კრონა,USD/1/აშშ დოლარი,CAD/1/კანადური დოლარი,AUD/1/ავსტრალიური დოლარი,EGP/10/ეგვიპტური გირვანქა,"TRL/1,000,000/თურქული ლირა",TRY/1/თურქული ლირა,JPY/100/იაპონური იენი,AED/10/არაბეთის გაერთიანებული საამიროების დირჰამი,"IRR/10,000/ირანული რიალი",ILS/10/ისრაელის შეკელი,SGD/1/სინგაპურული დოლარი,KWD/1/ქუვეითური დინარი,CNY/10/ჩინური იუანი,HKD/10/ჰონკონგური დოლარი,INR/100/ინდური რუპია,NZD/1/ახალზელანდიური დოლარი,RUB/100/რუსული რუბლი,"AZM/1,000/აზერბაიჯანული მანათი",AZN/1/აზერბაიჯანული მანათი,"BYR/10,000/ბელარუსული რუბლი",BYN/1/ბელარუსული რუბლი,EEK/10/ესტონური კრონა,"TMM/1,000/თურქმენული მანათი",TMT/10/თურქმენული მანათი,LVL/1/ლატვიური ლატი,LTL/10/ლიტვური ლიტი,MDL/10/მოლდოვური ლეი,"AMD/1,000/სომხური დრამი",TJS/10/ტაჯიკური სომონი,"UZS/1,000/უზბეკური სუმი",UAH/10/უკრაინული გრივნა,KZT/100/ყაზახური ტენგე,KGS/100/ყირგიზული სომი,ZAR/10/სამხრეთ აფრიკული რანდი,BRL/1/ბრაზილიური რიალი,QAR/10/კატარული რიალი,"KRW/1,000/სამხრეთ კორეული ვონი",CYP/1/კვიპროსული გირვანქა სტერლინგი,ATS/10/ავსტრიული შილინგი,BEF/100/ბელგიური ფრანკი,DEM/1/გერმანული მარკა,NLG/10/ჰოლანდიური გულდენი,"ITL/1,000/იტალიური ლირა",FIM/10/ფინური მარკა,FRF/10/ფრანგული ფრანკი,ESP/100/ესპანური პესეტა,GRD/100/ბერძნული დრაჰმა,IEP/1/ირლანდიური ფუნტი,LUF/100/ლუქსემბურგული ფრანკი,"PTE/1,000/პორტუგალიური ესკუდო"
Wed Oct 03 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.2009,3.1510,2.3482,3.3756,2.6810,2.9893,3.0480,6.2340,,7.0150,0.9367,2.5530,1.4128,0.8550,1.6555,1.6625,1.4625,2.9700,,1.3747,1.4350,4.5090,1.7790,4.1480,1.1181,5.9265,2.2060,2.1320,4.1800,1.2544,6.6500,1.9456,,7.7070,,1.5015,0.3184,,3.3580,6.8344,1.4676,4.9500,4.8060,1.2984,3.2860,1.3690,4.5990,,,,,4.0221,,,,,,,,,,,,
Thu Oct 04 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1995,3.1470,2.3452,3.3753,2.6810,3.0018,3.0570,6.2290,,6.9750,0.9330,2.5440,1.4095,0.8520,1.6540,1.6600,1.4691,2.9720,,1.3739,1.4250,4.5040,1.7780,4.1400,1.1179,5.9133,2.2040,2.1310,4.1600,1.2570,6.6300,1.9441,,7.7000,,1.4999,0.3181,,3.3482,6.7996,1.4509,4.9450,4.8020,1.2963,3.2772,1.3670,4.6590,,,,,4.0194,,,,,,,,,,,,
Fri Oct 05 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1916,3.1270,2.3300,3.3547,2.6880,2.9818,3.0300,6.1780,,6.8960,0.9226,2.5350,1.4020,0.8460,1.6525,1.6542,1.4568,2.9690,,1.3702,1.4180,4.5000,1.7760,4.1220,1.1138,5.9028,2.2020,2.1300,4.1800,1.2423,6.6100,1.9425,,7.6930,,1.4895,0.3178,,3.3317,6.7870,1.4496,4.9500,4.7980,1.2951,3.2739,1.3650,4.7900,,,,,3.9915,,,,,,,,,,,,
Sat Oct 06 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1926,3.1300,2.3325,3.3620,2.6900,2.9899,3.0430,6.1970,,6.9360,0.9275,2.5380,1.4047,0.8480,1.6525,1.6570,1.4697,2.9830,,1.3790,1.4190,4.5000,1.7760,4.1170,1.1187,5.9068,2.2020,2.1300,4.1900,1.2498,6.6100,1.9425,,7.6930,,1.4909,0.3178,,3.3116,6.7507,1.4483,4.9640,4.7970,1.2951,3.2697,1.3670,4.8180,,,,,3.9954,,,,,,,,,,,,
Sun Oct 07 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1926,3.1300,2.3325,3.3620,2.6900,2.9899,3.0430,6.1970,,6.9360,0.9275,2.5380,1.4047,0.8480,1.6525,1.6570,1.4697,2.9830,,1.3790,1.4190,4.5000,1.7760,4.1170,1.1187,5.9068,2.2020,2.1300,4.1900,1.2498,6.6100,1.9425,,7.6930,,1.4909,0.3178,,3.3116,6.7507,1.4483,4.9640,4.7970,1.2951,3.2697,1.3670,4.8180,,,,,3.9954,,,,,,,,,,,,
Mon Oct 08 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1926,3.1300,2.3325,3.3620,2.6900,2.9899,3.0430,6.1970,,6.9360,0.9275,2.5380,1.4047,0.8480,1.6525,1.6570,1.4697,2.9830,,1.3790,1.4190,4.5000,1.7760,4.1170,1.1187,5.9068,2.2020,2.1300,4.1900,1.2498,6.6100,1.9425,,7.6930,,1.4909,0.3178,,3.3116,6.7507,1.4483,4.9640,4.7970,1.2951,3.2697,1.3670,4.8180,,,,,3.9954,,,,,,,,,,,,
Tue Oct 09 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1908,3.1270,2.3285,3.3631,2.7120,2.9906,3.0490,6.1990,,6.9670,0.9309,2.5430,1.3979,0.8460,1.6505,1.6826,1.4873,2.9790,,1.3981,1.4080,4.4950,1.7740,4.1310,1.1219,5.8930,2.2000,2.1270,4.1800,1.2640,6.6100,1.9404,,7.6840,,1.4884,0.3174,,3.3209,6.7533,1.4446,4.9630,4.7920,1.2935,3.2683,1.3650,4.8120,,,,,3.9906,,,,,,,,,,,,
Wed Oct 10 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1840,3.1080,2.3152,3.3533,2.7130,2.9619,3.0070,6.1670,,6.9190,0.9251,2.5250,1.3898,0.8440,1.6495,1.6705,1.4723,2.9730,,1.3884,1.4060,4.4910,1.7730,4.0810,1.1206,5.8875,2.1950,2.1260,4.1800,1.2520,6.5800,1.9392,,7.6790,,1.4799,0.3172,,3.3189,6.7450,1.4422,4.9560,4.7880,1.2927,3.2683,1.3630,4.8090,,,,,3.9661,,,,,,,,,,,,
Thu Oct 11 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1913,3.1270,2.3298,3.3679,2.7230,2.9915,3.0310,6.2250,,6.9890,0.9350,2.5450,1.3949,0.8490,1.6495,1.6823,1.4841,2.9750,,1.3979,1.4060,4.4920,1.7700,4.1000,1.1259,5.8881,2.1960,2.1260,4.1900,1.2589,6.6000,1.9394,,7.6790,,1.4892,0.3172,,3.2924,6.7080,1.4431,4.9490,4.7880,1.2915,3.2683,1.3630,4.8090,,,,,3.9910,,,,,,,,,,,,
Fri Oct 12 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1972,3.1430,2.3410,3.3632,2.7380,3.0172,3.0530,6.2490,,7.0240,0.9389,2.5680,1.3984,0.8520,1.6480,1.6847,1.4900,2.9730,,1.3893,1.4050,4.4890,1.7680,4.0860,1.1266,5.8857,2.1970,2.1250,4.1900,1.2685,6.6100,1.9379,,7.6620,,1.4964,0.3169,,3.3092,6.7375,1.4469,4.9420,4.7840,1.2904,3.2835,1.3630,4.7360,,,,,4.0117,,,,,,,,,,,,
